Camp Name,Description,Ages,Price/Week,Hours,Indoor/Outdoor,Food Provided,Extended Care,Sibling Discount,Multi-Week Discount,Swim Requirement,Transport,Refund Policy,Contact Phone,Contact Email,Address,Website,2025 Reg Date,Notes
"Nature Rangers","Nature immersion with games, problem-solving quests, crafts, science experiments. Focus on confidence, resilience, nature connection.",5-14,$320-400,9am-2pm (aftercare to 4pm),Outdoor (Stow Grove/Ellwood),No - bring lunch,"Yes - 2-hour aftercare available",Unknown,Unknown,No,No,Unknown,(805) 895-2110,registrar@nature-rangers.org,"Various locations in Goleta/SB",naturerangers.org/camp/,Rolling,"6:1 ratio max. Max 12 kids per session."
"Camp Haverim","Jewish day camp with swimming, sports, arts, music, field trips, and Judaic enrichment. Celebrates Shabbat. Open to everyone.",TK-11,"$800-860 (2 weeks); $1,600 (4 weeks)",9am-3pm,Both,Unknown,Unknown,"Yes - $50 off one sibling (2-week sessions)","Yes - $100 off all 4 weeks",Unknown,Yes - bus available,Unknown,(805) 957-1115,See website,"Various locations (TBD for 2026)",camphaverim.org,Rolling (early bird by Jun 15),"Scholarships available - apply by Mar 31. CIT/JC leadership path."
"Art Explorers","Visual arts camps: drawing, painting, clay, sewing, cooking, movie making, digital arts. Nine weekly themed camps. Artist-quality materials.",K-8,~$299+,9am-3pm,Indoor (Vieja Valley School 2026),No - bring lunch,"Yes - aftercare 3:30-5pm $12/day","Yes - $10 off sibling","Yes - $10 off multi-camp",No,No,Unknown,(805) 570-5599,ozwicke@artexplorerssantabarbara.org,"Vieja Valley School, 434 Nogal Dr (2026)",terrificscientific.org,Rolling (fills fast),"Early bird $25 off Feb 9-23. Projects never repeat."
"Terrific Scientific","STEAM camps: science experiments, engineering, technology, robotics. 65 different themed camps. Same org as Art Explorers.",K-8,~$299+,8:30am-3:30pm,Indoor (Vieja Valley School 2026),No - bring lunch,"Yes - aftercare 3:30-5pm $12/day","Yes - $10 off sibling","Yes - $10 off multi-camp",No,No,Unknown,(805) 570-5599,ozwicke@terrificscientific.org,"Vieja Valley School, 434 Nogal Dr (2026)",terrificscientific.org,Rolling (fills fast),"Early bird $25 off Feb 9-23. 65 different STEAM camps."
"Santa Barbara Museum of Art Camp","Museum art camps with drawing, painting, printmaking, ceramics, textiles. Visits to museum galleries for inspiration from original artworks.",5-9 (varies by session),~$350 ($300 members),TBD,Indoor (museum),Unknown,Unknown,Unknown,Unknown,No,No,"4+ weeks full refund; 2-4 weeks credit; <2 weeks none",(805) 963-4364,communityprograms@sbma.net,"1130 State Street, Santa Barbara",sbma.net/learn/kidsfamilies/summer-camp-2025,Rolling,"Teaching Artists staff. TA volunteer positions available."
"Boxtales Theatre Camp","Professional theatre training: acting, storytelling, mime, acro-yoga, music, collaboration. Create original play based on Greek mythology.",9-13,~$875 (3-week intensive),Mon-Thu 9am-3:30pm; Fri 9am-1pm,Indoor (Marjorie Luke Theatre),No - bring lunch,No,Unknown,Unknown,No,No,Unknown,(805) 962-1142,info@boxtales.org,"721 E. Cota St, Santa Barbara",boxtales.org/education/summer-camp,Early March (only 15 spots),"Only 15 positions. 3-week intensive. Professional theatre environment."
"Ensemble Theatre Company","Young Actors Conservatory: Camp DramaRama (9-13), Performance Playground (5-8), Acting Intensive (14-22), Musical Theatre Intensive (14-22).",5-22,Varies by program,Varies,Indoor (New Vic Theater),Unknown,Unknown,Unknown,Unknown,No,No,Unknown,(805) 965-5400 x541,education@etcsb.org,"33 W. Victoria St, Santa Barbara",etcsb.org/education-and-outreach/the-young-actors-conservatory,Feb 1,"Professional performance training."
"Santa Barbara Dance Arts","Dance camps in jazz, ballet, hip hop, tap, acro. Themed camps: Disney Dance, Bluey, Tutu & Tails, Cupcakes & Cartwheels. Performance at end of week.",3-17,Varies by camp,Varies by camp,Indoor (dance studio),No - bring lunch,Unknown,Unknown,Unknown,No,No,Unknown,(805) 569-1711,hannah@sbdancearts.com,"630 Chapala St, Santa Barbara",sbdancearts.com/summer-camps-mini,Rolling,"Voted best dance studio in SB. Mini camps for ages 3-5."
"Momentum Dance Company","Dance camps with jazz, hip hop, tumbling, ballet, contemporary. Themed weeks with costumes and final performance. Ages 3 to teen.",3-18,Varies,1pm-4pm (camps); varies (intensives),Indoor (dance studio),No - bring lunch,Unknown,Unknown,Unknown,No,No,"4 weeks refund/credit; <2 weeks none",(805) 364-1638,momentumdancesb@gmail.com,"12 E. Figueroa St, Santa Barbara",momentumdancesb.com/summer,Rolling,"Company prep intensive available for competitive dancers ages 7-18."
"Next Level Sports Camp","Multi-sport camp: baseball, football, lacrosse, soccer, volleyball. Choose different sports each session. Top local coaches.",6-14,$TBD,Full day,Outdoor (various facilities),Unknown,Unknown,Unknown,Unknown,No,No,Unknown,(714) 333-8623,jeff@nextlevelsportscamp.com,"Goleta Valley South Little League fields",nextlevelsportscamp.com,Rolling,"Partnership with pro athletes and nonprofits."
"Santa Barbara Soccer Club Camp","Soccer skills development through drills and games. Professional coaching staff. Open to all abilities. Scholarships available.",5-12,$TBD,Half & Full Day options,Outdoor (Girsh Park Turf),No - bring lunch,Full day option available,Unknown,Unknown,No,No,"Non-refundable; credit toward rec programs",(805) 452-0083,bianca@santabarbarasc.org,"Girsh Park, 7050 Phelps Rd, Goleta",santabarbarasc.org/recreational-programs/camps/,Rolling,"Scholarship applications available."
"Surf Happens","Premier surf camp at Santa Claus Lane. Beginner to advanced instruction. Hot lunch included. CPR-certified instructors.",4-17,$550 ($750 ages 4-6),9am-3pm,Outdoor (Santa Claus Lane),Yes - hot lunch daily,No,"Yes - multi-week discounts",Unknown,No (all levels),No,Unknown,(805) 966-3613,info@surfhappens.com,"3825 Santa Claus Lane, Carpinteria",surfhappens.com/surf-camps/day-surf-camps/,Rolling (fills fast),"Half-day $400/week. 1:4 ratio (1:2 for ages 4-6). Scholarships via Surf Happens Foundation."
"A-Frame Surf Camp","Surf and beach camp since 2005. Surfing, games, beach fun. Weekday camps and Saturday options. Generations of campers.",5-16,$TBD,Monday-Friday all summer,Outdoor (Santa Claus Beach),Unknown,Unknown,Unknown,Unknown,No,No,Unknown,See website,See website,"Santa Claus Lane Beach, Carpinteria",aframesurf.com/beach-camp/,Rolling,"Saturday camps Aug-Oct for weekend flexibility."
"WinShape Camps","Faith-based day camp hosted by Chick-fil-A. Activities include sports, games, worship, crafts. Friday family lunch with Chick-fil-A.",K-6 (entering),$275,8:15am-5pm,Both,Friday Chick-fil-A lunch,No (8:15-5pm included),"Yes - 10% off each additional child",Unknown,No,No,"$65 deposit non-refundable; 30+ days full minus deposit; <30 days none",844-WS-CAMPS (844-972-2677),ajwagner55@gmail.com (host church),"Goleta Valley Jr High School",camps.winshape.org,March (fills in days),"Christian values-based. Register ASAP when opens."
"Laguna Blanca Summer Programs","Independent school camps at Hope Ranch & Montecito campuses. Wide variety including sports, arts, academics. Lunch included.",4-17,$405,9am-3pm,Both (two campuses),"Yes - snacks and lunch included","Yes - early 8:15am free; aftercare to 5pm $25/day","No (financial aid available - 10% revenue)",Unknown,No,"Yes - bus between campuses $75/week","2+ weeks before full minus $75; <2 weeks 50%; after reg closes none",(805) 687-2461,camps@lagunablanca.org,"4125 Paloma Dr (Hope Ranch); 260 San Ysidro Rd (Montecito)",lagunablanca.org,Feb 28 at 9am,"Some camps fill day 1."
"Safety Town","Traffic, fire, water, and personal safety education for pre-K and kindergarteners. Interactive lessons with guest speakers.",Pre-K/K (5 by 9/1),$200,8:30am-12pm (3.5 hours),Both (elementary schools),Snack provided,No (half-day program),Unknown,N/A (one-week program),No,No,"Refund only if space filled; $25 fee",(805) 252-7998,info@sbsafetytown.org,"Kellogg/Mountain View/Montecito Union Schools",sbsafetytown.org,Early spring,"Includes t-shirt. 1:2-3 CIT ratio."
"Apples to Zucchini Cooking School","Hands-on cooking camp teaching culinary skills and kitchen safety. Each day features recipes around weekly themes.",1-6 (grades),$495,9am-3pm,Indoor (commercial kitchen),"Yes - lunch and snacks included",No,Unknown,Unknown,No,No,"Age waiver violations = removal no refund",(805) 214-1213,info@atozcookingschool.org,"2300 Garden Street, Santa Barbara",atozcookingschool.org,Rolling,"All meals/snacks included. 501(c)(3) nonprofit."
"Camp Stow","Historic ranch camp with nature exploration, ranch activities, and local history at the 1872 Stow House.",5-12,"$400 (half-day); $550 (full-day)",Half: 9am-12:30pm; Full: 9am-3pm,Both (historic ranch),Unknown,No (half or full day options),Unknown,N/A (3 one-week sessions only),No,No,Unknown,(805) 681-7216,campstow@goletahistory.org,"304 N. Los Carneros Road, Goleta",goletahistory.org/camp-stow/,Spring,"2026: July 7-11, 14-18, 21-25 only. Limited sessions."
"Ice in Paradise","Figure skating and hockey camps at indoor ice rink. No prior skating experience required. Grouped by age and ability level.",4-11,Unknown,9am-3pm,Indoor (ice rink),Unknown,No,Unknown,Unknown,No (skating - no experience needed),No,Unknown,(805) 879-1550,camps@iceinparadise.org,"6985 Santa Felicia Drive, Goleta",iceinparadise.org/in-house-camps,Rolling,"All equipment provided."
"United Boys & Girls Club","Affordable full-day camp at multiple locations. Sports, games, arts, STEM activities. Scholarships available.",5-18,$75,8am-6pm (included),Both (multiple locations),Unknown,Yes - 8am-6pm included,"Unknown (scholarships available)",Unknown,No,No,Unknown,Varies by location,See website,Multiple locations countywide,unitedbg.org/programs/,Spring,"Best value for working parents."
"Refugio Jr. Guards","Ocean safety program at state beach run by CA State Parks lifeguards. CPR, first aid, surf rescue, environmental education.",7-17,$450 ($430 siblings),9am-3pm,Outdoor (Refugio State Beach),Unknown,Unknown,"Yes - sibling $430 vs $450",Unknown,Yes - ocean swim test Day 1,"Bus from Goleta offered 2026 (fee TBD)",CA State Parks policy,(805) 331-8018,refugio.guards@parks.ca.gov,"10 Refugio Beach Road, Goleta",parks.ca.gov,Feb (dates announced Jan 31),"2026 dates announced by Jan 31."
"Page Youth Center","Sports-focused camp in 23,000 sq ft facility with 16,000 sq ft gym. Basketball, volleyball, sports games.",Grades 1-8,Unknown,8:30am-4pm,Indoor (gym facility),Unknown,No,Unknown,Unknown,No,No,Unknown,(805) 967-8778,pyc@pageyouthcenter.org,"4540 Hollister Ave, Santa Barbara",pageyouthcenter.org/summer-camps,Jan/Feb,""
"GUSD Summer Thrive","District-run summer program at Goleta elementary schools. Free for ELOP-eligible families; low-cost paid option for others.",K-6,Free (ELOP) or low cost,7:30am-4:30pm,Both,Unknown,Yes - 7:30am-4:30pm included,N/A,N/A,No,No,N/A (mostly free),See GUSD website,See GUSD website,"Ellwood/Brandon Elementary, Goleta",sites.google.com/goleta.k12.ca.us/afterschool2019/summer-thrive-camp,Spring (school notification),"Best hours for working parents."
"Camp Elings","Outdoor adventure at 230-acre park: tag, dodgeball, relay races, basketball, soccer, hiking, nature art, live reptile visits.",5-12,$TBD,TBD,Outdoor (Elings Park),Unknown,Unknown,Unknown,Unknown,No,No,Unknown,(805) 569-5611,dsouza@elingspark.org,"Elings Park, 1298 Las Positas Rd",elingspark.org/summer-camp/,Spring,"Scholarships via Campership Alliance/PAL."
"Westmont Summer Sports Camps","University sports camps: basketball, soccer, volleyball, and more. 35+ years of experience. Fun, safe environment.",5-13,$TBD,TBD,Outdoor (Westmont campus),Unknown,Unknown,Unknown,Unknown,No,No,Unknown,(805) 680-3590,ldorr@westmont.edu,"Westmont College, 955 La Paz Rd",westmont.edu/athletics/summercamps,Spring,"College campus facilities."
"Nick Rail Summer Band Camp","Band camp for students learning instruments. Sponsored by SB Education Foundation. Builds musical skills and confidence.",Various,$TBD,TBD,Indoor,Unknown,Unknown,Unknown,Unknown,No,No,"Withdrawals before June 9; $50 non-refundable registration fee",See SBEF website,See website,Various locations,sbefoundation.org/community-programs/the-nick-rail-summer-band-camp/,Spring,"Also offers Summer String Camp."
"Twin Lakes Junior Golf","Golf fundamentals: putting, chipping, full swing. Concepts valuable on and off the course. PGA instruction.",4-14,$TBD,TBD,Outdoor (golf course),Unknown,Unknown,Unknown,Unknown,No,No,Unknown,See website,carly@donparsonsgolf.com,"Twin Lakes Golf Course, 6034 Hollister Ave, Goleta",twinlakesgolf.com/junior-golf,Rolling,"Don Parsons Golf instruction."
"SB Rock Gym Camp","PERMANENTLY CLOSED November 2025. Alternative: The Pad Climbing in Ventura.",N/A,CLOSED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"322 State St, Santa Barbara (closed)",sbrockgym.com,N/A,"Closed Nov 2025. Try The Pad Climbing (Ventura) or SB indoor climbing walls."
"Octobots Robotics Camp","Engineering and robotics camp combining craftsmanship with excitement of high school robotics. All levels welcome.",9-14,$TBD,TBD,Indoor,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,(805) 637-0197,info@teamoctobots.org,"7266 Alameda Ave, Goleta",teamoctobots.org/campseducation,Spring,"FIRST Robotics team runs camp."
"Anacapa School Arts & Exploration","Dynamic mix of hands-on art projects, musical sessions, and outdoor activities/exploration.",9-13,$TBD,TBD,Both,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,(805) 965-0228,camp@anacapaschool.org,"814 Santa Barbara St, Santa Barbara",anacapaschool.org/summer-2025,Rolling,"Private school campus."
"Best U Camp","Affordable all-day downtown camp. Sports, games, hikes, beach days, Slip 'N Slide, and more.",K-6 (grades),$TBD,Full day,Both,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,(805) 490-2285,seanbestucamp@yahoo.com,"Notre Dame School, 33 E. Micheltorena St",BestUCamp.com,Rolling,"Affordable option in downtown SB."
"Montessori Center School Camp","Thematic summer camp with Montessori principles. Creativity, discovery, social interaction, and fun.",3-12,$TBD,TBD,Both,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,(805) 683-9383,t.clark@mcssb.org,"401 N. Fairview Ave, Ste. 1, Goleta",mcssb.org/summer-camp,Spring,"Montessori approach to summer learning."
"Sea League Excursion Camp","Overnight coastal adventure at Dos Pueblos Ranch. Surfing, boogie boarding, giant SUP, Channel Islands trip with snorkeling.",9-13,$TBD,5-day overnight,Outdoor (Gaviota Coast),Yes - meals included,N/A (overnight),Unknown,Unknown,No,No,Unknown,(805) 419-0717,info@thesealeague.org,"Dos Pueblos Ranch, Gaviota",thesealeague.org/summer-camps,Spring,"Channel Islands snorkeling trip included."
"InterAct Theatre School","Theatrical experience combining performance, creativity, teamwork, and personal growth. Act It! Move It! Make It!",4-16,$TBD,TBD,Indoor,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,(805) 869-2348,info@interacttheatreschool.com,"Unity of SB, 227 E. Arrellaga St",interacttheatreschool.com/summer-camps,Rolling,"Building confidence through theatre."
"Fairview Gardens","CLOSED - Historic educational farm under renovation 2022-2027/28. No summer camp currently available.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"598 N. Fairview Ave, Goleta",fairviewgardens.org,N/A,"Check status before 2026."
"South Coast Railroad Museum","NO SUMMER CAMP - Museum open weekends only. Birthday parties and school field trips available.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(805) 964-3540,museum@goletadepot.org,"300 N Los Carneros Rd, Goleta",goletadepot.org,N/A,"Miniature train rides available. No summer camp."
